Wins,Matches,Commander,Discord tag,R,Time Zone,Adversaire 1,Score,,Adversaire 2,Score,,Adversaire 3,Score,,MW%,GW%
3,3,"Uro, Titan of Natures Wrath",Freyalisër#3719,1,GMT +2,Back_Alley_G#3571,2,1,Jollto#6429,2,1,BirthingPodder#6911,2,1,100,67
0,3,Old Stickfingers,Back_Alley_G#3571,2,GMT -4,Freyalisër#3719,1,2,LegendOfChiang#6665,1,2,Dracosinus#5200,0,2,0,25
2,3,"Kinnan, Bonder Prodigy",LegendOfChiang#6665,2,GMT -4,BirthingPodder#6911,2,1,Dracosinus#5200,0,2,Back_Alley_G#3571,2,1,67,50
3,3,"Sythis, Harvests Hand",Dracosinus#5200,4,GMT +2,LegendOfChiang#6665,2,0,Back_Alley_G#3571,2,0,Jollto#6429,2,1,100,86
0,3,Questing Beast,Jollto#6429,4,GMT +2,Dracosinus#5200,1,2,BirthingPodder#6911,0,2,Freyalisër#3719,1,2,0,25
1,3,"Chatterfang, Squirrel General",BirthingPodder#6911,4,GMT -4,Jollto#6429,2,0,Freyalisër#3719,1,2,LegendOfChiang#6665,1,2,33,50
3,3,"Yawgmoth, Thran Physician",Skull (romain)#3826,4,GMT +2,xBastoo#1925,2,1,HAzor#3981,2,0,MathemaTiGer128#0607,2,1,100,75
1,3,"Nicol Bolas, Dragon-God",xBastoo#1925,4,GMT +2,Skull (romain)#3826,1,2,MathemaTiGer128#0607,1,2,themudman#8734,2,0,33,50
0,3,"Ral, Storm Conduit",HAzor#3981,4,GMT -6,MathemaTiGer128#0607,1,2,themudman#8734,1,2,Skull (romain)#3826,0,2,0,25
2,3,Old Stickfingers,MathemaTiGer128#0607,4,GMT +2,HAzor#3981,2,1,Skull (romain)#3826,1,2,xBastoo#1925,2,1,67,56
1,3,"Shanna, Purifying Blade",themudman#8734,11,GMT +2,Myriad58#5983,0,2,xBastoo#1925,0,2,HAzor#3981,2,1,33,29
2,3,"Niambi, Beloved Protector",Myriad58#5983,11,GMT +8,themudman#8734,2,0,ImNotFine#8210,1,2,inkheart#1346,2,1,67,63
0,2,"Chatterfang, Squirrel General",firewolf#6439,11,GMT +2,Peaches#3538,,,inkheart#1346,1,2,ImNotFine#8210,0,2,0,20
0,1,"Jodah, the Unifier",Peaches#3538,14,GMT -4,ImNotFine#8210,,,firewolf#6439,,,inkheart#1346,0,2,0,0
2,2,Oswald Fiddlebender,ImNotFine#8210,14,GMT +1,Myriad58#5983,2,1,Peaches#3538,,,firewolf#6439,2,0,100,80
2,3,"Raffine, Scheming Seer",inkheart#1346,14,GMT -6,firewolf#6439,2,1,Myriad58#5983,1,2,Peaches#3538,2,0,67,63
3,3,"Sythis, Harvests Hand",Thomas (Tomy)#0982,17,GMT +2,artillect#8709,2,1,IzzetABCannon#9312,2,0,circulated#6126,2,1,100,75
2,3,"Thalia, Guardian of Thraben",artillect#8709,17,GMT -7,circulated#6126,2,1,Thomas (Tomy)#0982,1,2,IzzetABCannon#9312,2,0,67,63
1,3,"Teferi, Hero of Dominaria",IzzetABCannon#9312,17,GMT -5,Thomas (Tomy)#0982,0,2,circulated#6126,2,1,artillect#8709,0,2,33,29
0,3,"Laezel, Wrathful Warrior ",circulated#6126,17,GMT -3,IzzetABCannon#9312,1,2,artillect#8709,1,2,Thomas (Tomy)#0982,1,2,0,33
3,3,"Tamiyo, Collector of Tales",Helliax#4621,17,GMT -7,petitpois22#1408,2,1,Martianlegacy#4781,2,0,AgentORNJ#7974,2,0,100,86
1,3,"Yarok, the Desecrated",petitpois22#1408,17,GMT +2,Helliax#4621,1,2,whatdoesitdo?#1249,2,0,Martianlegacy#4781,0,2,33,43
2,3,"Tazri, Beacon of Unity",Martianlegacy#4781,23,GMT +2,AgentORNJ#7974,2,1,Helliax#4621,0,2,petitpois22#1408,2,0,67,57
0,2,"Teferi, Hero of Dominaria",AgentORNJ#7974,23,GMT -5,Martianlegacy#4781,1,2,Lorna Shore#5141,,,Helliax#4621,0,2,,20
1,2,"Orvar, the All-Form",whatdoesitdo?#1249,23,GMT -4,petitpois22#1408,0,2,player2aj#6725,2,1,Lorna Shore#5141,,,,40
1,3,"Miirym, Sentinel Worm",player2aj#6725,23,GMT -5,whatdoesitdo?#1249,1,2,Lorna Shore#5141,0,2,BYE,2,0,,43
1,1,"Isamaru, Hound of Konda",Lorna Shore#5141,23,GMT -5,player2aj#6725,2,0,AgentORNJ#7974,,,whatdoesitdo?#1249,,,,100